system:index,ET_mm,month,year,.geo
221,100.18809564880527,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,109.47728815028889,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,106.34495913655105,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,74.32038679350619,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,50.26276082751881,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,27.475143834486786,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,27.31002138124132,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,29.80512052412102,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,39.93629869030639,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,51.00219716880822,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,48.13070775619415,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,82.9285915001099,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,100.30144957052194,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,112.423700820297,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,103.12254346013802,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,86.70941911836346,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,38.953933322378134,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,36.44891461167887,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,26.650633305415397,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,30.16014423587547,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,39.00711916887114,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,52.36266539117779,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,50.936616504801385,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,81.64421045430574,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,99.15164871924156,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,108.84331896371145,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,96.25601295653654,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,71.36039489151324,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,36.73402586935269,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,38.961953643099704,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,24.321397324819998,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,28.680679603446663,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,36.84482530785035,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,48.7553098654404,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,45.39042128171901,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,80.47339532740833,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,93.92509662319793,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,105.77560025323235,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,101.91000165583687,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,82.57504681386779,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,41.58813489777461,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,37.85608583205327,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,27.326002452824753,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,31.233492344547862,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,40.40457761456798,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,51.49518773957262,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,68.32830085711704,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,62.864771071193005,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,95.25749343576663,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,112.57278888840163,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,99.48067664837771,8,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,79.65097008426623,9,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,51.124896469538214,10,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,26.697128059754874,11,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,25.792552831560887,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
