,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
2/1/2014,-1.890364637,-0.103045256,-0.041783701,-0.718635358,-0.81635762,-0.176092398,-0.137222573,0.773138286,-0.660465899,10.56589852,-0.843819618
3/1/2014,-3.271304076,1.872111827,-0.105291841,-2.559959901,0.994100988,-0.621941627,0.311690427,-0.34341639,0.092755854,15.5468483,0.675305383
4/1/2014,-0.278865477,2.645795874,-0.15712472,-1.298723151,-0.064296764,-0.131768999,0.255808346,-2.009992579,-1.778878139,0.880885,0.056805024
5/1/2014,1.505559615,0.813953773,0.020816811,-0.251092161,-4.029844761,-1.8815075,2.16724763,-2.363105069,-2.690178975,-3.392428398,0.399402034
6/1/2014,-0.227672963,1.897010161,-0.039866896,-0.036902737,-5.187715282,2.981934734,0.697047304,-7.448039096,-0.135862339,1.361198322,-0.097280206
7/1/2014,0.883662085,-0.058145077,0.062366175,-0.009452387,1.003492438,6.828148303,1.54382545,-10.85968722,0.073410361,-1.192569733,-0.393665585
8/1/2014,0.262393486,0.865096193,0.274763845,0.004870407,3.492122236,1.505275809,0.992702474,-0.359046853,-1.188869704,1.648495322,0.889509001
9/1/2014,1.197859458,-0.248386342,1.280707588,0.140927913,4.472125665,-8.358775719,0.207796874,1.881164385,0.313783086,0.57263691,-0.355419309
10/1/2014,0.660145341,0.000998287,-0.178076104,0.106770703,1.089482131,-8.488384527,1.147254856,-4.53796792,-0.898460502,2.244400812,-1.022982259
11/1/2014,-0.022618165,-0.706207979,-0.069318283,-0.256071791,1.26854295,-1.61689898,-0.030780027,-0.200506054,1.022632692,4.593637052,-1.06338117
12/1/2014,-0.08882217,-1.012923401,-0.082385756,2.776478744,-0.73724116,-0.004429013,-0.200085785,0.067620745,-0.333078162,2.673825416,0.821534913
1/1/2015,1.168722275,-0.255168474,0.196662485,-2.470423595,-0.356153165,0.345469649,-0.098563602,0.108459261,-0.01140029,3.442782941,0.182858049
2/1/2015,-0.66070198,-2.142763884,-0.482921641,-1.719924964,0.001990191,-0.070342783,-0.117458298,-0.066554604,2.70526248,-2.683145896,-1.006119639
3/1/2015,-1.258267825,-0.614369363,-1.020439294,-3.235921336,-1.116961777,-0.51616043,-0.000250898,1.23692024,1.972866118,1.379772186,-1.233496351
4/1/2015,-0.8293704,0.452883295,-0.583757378,-1.235991155,-2.573052448,-0.715456781,-0.500644572,0.339064142,-1.614194797,-2.392699366,1.277972111
5/1/2015,-0.471892782,0.328461543,0.241231181,-0.234087107,2.117277622,-3.58802472,0.744411803,0.633398284,0.79691507,1.372303963,0.191461336
6/1/2015,-1.068159549,0.58194573,0.045024471,-0.035653805,3.64330412,-5.153129391,-0.634993602,4.596265751,-0.580511439,0.515603916,0.765151082
7/1/2015,-0.843588103,0.9792262,0.090705591,0.00813732,-3.753250993,-11.07840592,-1.70730227,6.794697388,-0.882698209,-0.711164474,-0.105887118
8/1/2015,-0.560272086,-0.340973157,-0.006126053,-0.025274172,-0.547825274,-8.274785913,-1.656936656,2.560922706,-0.880531539,-0.718579883,-0.127941212
9/1/2015,-0.119803079,-0.979948539,-0.142916063,-0.02974166,0.562661783,-7.416719063,-0.934962926,-7.854252981,-2.228574836,-1.741882257,-0.643969507
10/1/2015,0.439022123,-0.53237638,0.210108522,-0.386287591,2.535639587,-5.911064905,0.394982727,-4.335142493,-1.933419818,-2.82877581,-0.634393756
11/1/2015,-0.18871372,1.437950265,-0.043912094,-0.604868397,5.08377475,-0.889481749,0.95579355,-0.157823466,3.321179483,-3.177402434,-0.203143363
12/1/2015,-1.114324077,3.430842955,-0.134770625,-1.373863124,4.830957692,-0.060373098,0.32416426,-0.079592196,0.105734094,-6.251540032,-0.55568542
1/1/2016,1.074768427,-1.236625827,-0.015916586,3.1482784,4.330137159,0.15268832,0.150191994,-0.169408398,1.354863338,-9.817668376,0.386485039
2/1/2016,1.446789275,-0.729025395,0.402095545,-2.430258669,-1.160441704,-0.151543413,-0.151460021,-0.090510099,-0.654305878,-9.218920127,-1.186591476
3/1/2016,-2.484817927,0.873997718,-0.739140389,2.201366889,1.246311605,-0.829327793,-0.105477177,0.03088558,2.940846503,1.691961288,-1.274297921
4/1/2016,0.08982406,0.372967772,-0.311380259,-1.192548831,5.98639341,-0.845583734,0.199897401,0.261147997,3.433925701,-2.482297068,-0.50998815
