basin,year,month,ET_mm
Colorado,2006,2,15.403081541669785
Colorado,2006,3,24.2475091021618
Colorado,2006,4,10.329391148665744
Colorado,2006,5,11.925533095725743
Colorado,2006,6,13.207172113368587
Colorado,2006,7,16.71821294587371
Colorado,2006,8,18.06731877117882
Colorado,2006,9,15.96332654378466
Colorado,2006,10,13.866873245030266
Colorado,2006,11,16.11072740494828
Colorado,2006,12,19.222110011081043
Colorado,2007,1,22.17130607846591
Colorado,2007,2,21.859279508737306
Colorado,2007,3,17.226683911085626
Colorado,2007,4,13.682491810345148
Colorado,2007,5,15.320418161656876
Colorado,2007,6,13.403359541409433
Colorado,2007,7,16.57316190251426
Colorado,2007,8,16.382403454495947
Colorado,2007,9,12.920506044358753
Colorado,2007,10,8.11152271543619
Colorado,2007,11,11.6130326924285
Colorado,2007,12,18.680404837981
Colorado,2008,1,21.84319872583588
Colorado,2008,2,23.072350562494886
Colorado,2008,3,20.052121858088867
Colorado,2008,4,15.634072437756297
Colorado,2008,5,13.071142717871911
Colorado,2008,6,14.512831195670422
Colorado,2008,7,18.80368389149917
Colorado,2008,8,18.163504782521997
Colorado,2008,9,12.62958264749376
Colorado,2008,10,10.528878817744776
Colorado,2008,11,11.669495907326908
Colorado,2008,12,19.968914493170157
Colorado,2009,1,21.22861093600988
Colorado,2009,2,20.564012543866827
Colorado,2009,3,19.393281333010815
Colorado,2009,4,14.18664087652332
Colorado,2009,5,16.889900695374806
Colorado,2009,6,20.014841132224493
Colorado,2009,7,16.538126093069206
Colorado,2009,8,12.994277073142255
Colorado,2009,9,12.249118219704652
Colorado,2009,10,10.98471423297226
Colorado,2009,11,13.438732696600212
Colorado,2009,12,18.55468085784955
Colorado,2010,1,22.879119473700943
Colorado,2010,2,27.656799992404924
Colorado,2010,3,24.680330593178596
Colorado,2010,4,15.208663647694296
Colorado,2010,5,18.11651851599129
Colorado,2010,6,17.960626508864344
Colorado,2010,7,20.16885898107192
Colorado,2010,8,19.616573591539208
Colorado,2010,9,12.903947553801354
Colorado,2010,10,12.359548592026709
Colorado,2010,11,17.19041070624106
Colorado,2010,12,18.35786233429301
Colorado,2011,1,20.271509681919195
Colorado,2011,2,20.72110032816924
Colorado,2011,3,20.203126213008684
Colorado,2011,4,17.37533698670993
Colorado,2011,5,19.81078889824987
Colorado,2011,6,14.968806596289438
Colorado,2011,7,20.322336644871985
Colorado,2011,8,16.791642508535908
Colorado,2011,9,16.14694304585252
Colorado,2011,10,8.997073409362898
Colorado,2011,11,19.452426782913538
Colorado,2011,12,20.313159543248116
Colorado,2012,1,17.419766804146967
Colorado,2012,2,22.669346758894537
Colorado,2012,3,16.209413307290426
Colorado,2012,4,13.989060119506805
Colorado,2012,5,8.762842631931717
Colorado,2012,6,11.405595128813632
Colorado,2012,7,17.808545914276866
Colorado,2012,8,15.845913308088868
Colorado,2012,9,12.418068627224471
Colorado,2012,10,10.70306363430896
Colorado,2012,11,11.03125627951376
Colorado,2012,12,18.86911249057551
Colorado,2013,1,21.014712627016472
Colorado,2013,2,21.4368592401246
Colorado,2013,3,17.342895132040077
Colorado,2013,4,14.07280402987505
Colorado,2013,5,14.326055702247404
Colorado,2013,6,12.660893656594514
Colorado,2013,7,18.515646885974853
Colorado,2013,8,20.61798264190371
Colorado,2013,9,19.618716350900662
Colorado,2013,10,12.00291022686054
Colorado,2013,11,20.388525879154212
Colorado,2013,12,19.48013841610878
Colorado,2014,1,17.489353170129366
Colorado,2014,2,21.17801056617515
Colorado,2014,3,18.2149271342523
Colorado,2014,4,13.38371163476616
Colorado,2014,5,14.969202928588317
Colorado,2014,6,13.317612005783932
Colorado,2014,7,19.389670213229063
Colorado,2014,8,20.97835154601897
Colorado,2014,9,18.109403631903813
Colorado,2014,10,10.652765509730989
Colorado,2014,11,17.080347023533594
Colorado,2014,12,21.618276149090132
Colorado,2015,1,24.328431027347435
Colorado,2015,2,22.05948373461765
Colorado,2015,3,15.597777149769168
Colorado,2015,4,13.79760471745046
Colorado,2015,5,23.468382845280672
Colorado,2015,6,20.14433240003942
Colorado,2015,7,23.67982935155222
Colorado,2015,8,19.642808777677416
Colorado,2015,9,15.961748907373808
Colorado,2015,10,13.86835779592245
Colorado,2015,11,18.711858947634365
Colorado,2015,12,19.34835604197507
Colorado,2016,1,22.567536712585767
Colorado,2016,2,18.28594381902057
Colorado,2016,3,19.54649372271754
Colorado,2016,4,23.76514047638739
Colorado,2016,5,14.93904066138663
Colorado,2016,6,17.87974529547382
Colorado,2016,7,18.84165687624556
Colorado,2016,8,19.94640041403092
Colorado,2016,9,16.45913814685787
Colorado,2016,10,14.262210590178178
Colorado,2016,11,12.34360243756834
Colorado,2016,12,21.26947202326504
Colorado,2017,1,23.6174138813999
Colorado,2017,2,26.64670240482276
Colorado,2017,3,21.494539840367327
Colorado,2017,4,14.184664600047368
Colorado,2017,5,19.09965563007831
Colorado,2017,6,16.394689378483974
Colorado,2017,7,21.58471033658559
Colorado,2017,8,19.44983665771281
Colorado,2017,9,16.106687582171045
Colorado,2017,10,7.721796901677555
Colorado,2017,11,14.13023694350106
Colorado,2017,12,12.7024920708303
Colorado,2018,1,16.711102734172904
Colorado,2018,2,19.998348593059426
Colorado,2018,3,19.18361243162809
Colorado,2018,4,9.85797303483923
Colorado,2018,5,13.71915258438481
Colorado,2018,6,13.75361873701146
Colorado,2018,7,16.767500020074475
Colorado,2018,8,16.33622641552751
Colorado,2018,9,14.564208261372205
Colorado,2018,10,16.404640760798312
Colorado,2018,11,16.403125058503527
Colorado,2018,12,19.037279982815697
Colorado,2019,1,23.431919048140912
Colorado,2019,2,26.305010855448753
Colorado,2019,3,26.486655130774896
Colorado,2019,4,18.07596841705053
Colorado,2019,5,25.247698570974087
Colorado,2019,6,20.202161207726903
Colorado,2019,7,22.008256422667124
Colorado,2019,8,19.386930385836894
Colorado,2019,9,16.84638957379176
Colorado,2019,10,9.48963112331252
Colorado,2019,11,16.88680312801685
Colorado,2019,12,21.581360958439035
Colorado,2020,1,22.89479158033901
Colorado,2020,2,22.914512177791593
Colorado,2020,3,30.187013809931287
Colorado,2020,4,20.20336997119628
Colorado,2020,5,12.458778284773176
Colorado,2020,6,17.46824689664286
