basin,year,month,ET_anomaly_mm
Mississippi / Missouri,2022,5,3.591182487854745
Mississippi / Missouri,2022,6,-0.576600129350723
Mississippi / Missouri,2022,7,-0.04400008451557369
Mississippi / Missouri,2022,8,3.8723319485146135
Mississippi / Missouri,2022,9,2.3704466361822725
Mississippi / Missouri,2022,10,-4.736348475865714
Mississippi / Missouri,2022,11,1.8089940991213247
Mississippi / Missouri,2022,12,-1.4164379298147018
Mississippi / Missouri,2023,1,-0.6288305187713732
Mississippi / Missouri,2023,2,1.9345411483046995
Mississippi / Missouri,2023,3,-0.20850860826071482
Mississippi / Missouri,2023,4,-5.555043131219069
Mississippi / Missouri,2023,5,3.532784518869228
Mississippi / Missouri,2023,6,5.3247880298635835
Mississippi / Missouri,2023,7,8.013201526002007
Mississippi / Missouri,2023,8,5.805162859464517
Mississippi / Missouri,2023,9,0.7148439041299284
Mississippi / Missouri,2023,10,-1.0140252339853255
Mississippi / Missouri,2023,11,1.6208269139004834
Mississippi / Missouri,2023,12,1.321508183899308
Mississippi / Missouri,2024,1,-1.0300520474857073
Mississippi / Missouri,2024,2,2.413251966038576
Mississippi / Missouri,2024,3,-0.2924362404644043
Mississippi / Missouri,2024,4,12.211758050284054
Mississippi / Missouri,2024,5,-9.003003174715879
Mississippi / Missouri,2024,6,3.1548650215508616
Mississippi / Missouri,2024,7,2.4940986731605364
Mississippi / Missouri,2024,8,2.411826971786155
Mississippi / Missouri,2024,9,-1.5130749555776575
Mississippi / Missouri,2024,10,2.464228563330817
Mississippi / Missouri,2024,11,-3.7430208705138845
Mississippi / Missouri,2024,12,1.6963790870437627
Murray Darling,2002,1,-7.526570787401209
Murray Darling,2002,2,-2.010228307352012
Murray Darling,2002,3,-5.02855252927511
Murray Darling,2002,4,-4.579145153848545
Murray Darling,2002,5,-3.848073143807124
Murray Darling,2002,6,-5.320357599145822
Murray Darling,2002,7,-8.877137800252719
Murray Darling,2002,8,-11.263530640456974
Murray Darling,2002,9,-14.317142727830138
Murray Darling,2002,10,-14.019497522884457
Murray Darling,2002,11,-13.399559890710842
Murray Darling,2002,12,-11.823541272460234
Murray Darling,2003,1,-14.221229903763135
Murray Darling,2003,2,-7.657398585260172
Murray Darling,2003,3,-5.036253302514275
Murray Darling,2003,4,-1.8589342893660543
Murray Darling,2003,5,1.7223682169454975
Murray Darling,2003,6,-0.4097131491995931
Murray Darling,2003,7,-1.4536470743193952
Murray Darling,2003,8,-0.3562312263468499
Murray Darling,2003,9,1.016420187253246
Murray Darling,2003,10,-0.9291949925677336
Murray Darling,2003,11,-1.132839163665686
Murray Darling,2003,12,-5.499826933300028
Murray Darling,2004,1,-1.340576661509015
Murray Darling,2004,2,-4.620935582922961
Murray Darling,2004,3,-2.06875737120151
Murray Darling,2004,4,-1.0226149033163736
Murray Darling,2004,5,-7.033818551905263
Murray Darling,2004,6,-2.7930574529704018
Murray Darling,2004,7,-2.7155880895342293
Murray Darling,2004,8,-3.053921121057787
Murray Darling,2004,9,0.653870240199403
Murray Darling,2004,10,3.7197486476468207
Murray Darling,2004,11,-7.241126571647069
Murray Darling,2004,12,1.2284663478880233
Murray Darling,2005,1,-4.308490922956594
Murray Darling,2005,2,-6.73128724999253
Murray Darling,2005,3,-9.535434541022141
Murray Darling,2005,4,-8.850391525673523
Murray Darling,2005,5,-5.013511488873579
Murray Darling,2005,6,-0.2057626455855619
Murray Darling,2005,7,1.1369904695248074
Murray Darling,2005,8,-0.7591754671130424
Murray Darling,2005,9,7.378228522276849
Murray Darling,2005,10,5.486728535600726
Murray Darling,2005,11,9.750405949390785
Murray Darling,2005,12,-4.514509908833006
Murray Darling,2006,1,-7.018439293950298
Murray Darling,2006,2,-7.453831702913792
Murray Darling,2006,3,-7.428160192630347
Murray Darling,2006,4,-4.887544080995728
Murray Darling,2006,5,-3.1456346396465236
Murray Darling,2006,6,-1.8708246276614062
Murray Darling,2006,7,-1.6168093995728618
Murray Darling,2006,8,-5.219515424781026
Murray Darling,2006,9,-8.25371144988646
Murray Darling,2006,10,-13.2354652510685
Murray Darling,2006,11,-10.809630623098371
Murray Darling,2006,12,-12.28317177990779
Murray Darling,2007,1,-9.175607607663046
Murray Darling,2007,2,-12.820392518515813
Murray Darling,2007,3,-8.353376570861954
Murray Darling,2007,4,-7.506701316226284
Murray Darling,2007,5,-0.8761631284342464
Murray Darling,2007,6,-0.30310765823311314
Murray Darling,2007,7,-1.8852282970652858
Murray Darling,2007,8,0.579680117029362
Murray Darling,2007,9,-7.606113653676406
Murray Darling,2007,10,-10.178493635998553
Murray Darling,2007,11,0.026480487070141834
Murray Darling,2007,12,5.836943027192817
Murray Darling,2008,1,9.4003931015496
Murray Darling,2008,2,10.008757324668384
Murray Darling,2008,3,-3.4548589103759184
Murray Darling,2008,4,-0.39440143589710175
Murray Darling,2008,5,-6.921691118802764
Murray Darling,2008,6,-0.33932893629523164
Murray Darling,2008,7,-2.283709340746178
Murray Darling,2008,8,-3.6702274688373002
Murray Darling,2008,9,-2.7864010424515335
Murray Darling,2008,10,0.6170158874531708
Murray Darling,2008,11,-7.945916282490753
Murray Darling,2008,12,-0.7753775320687915
Murray Darling,2009,1,-5.1897111992539315
Murray Darling,2009,2,-6.619660556353686
Murray Darling,2009,3,-6.879516215381521
Murray Darling,2009,4,-3.660538764821057
Murray Darling,2009,5,1.5835956847165598
Murray Darling,2009,6,0.5576014346596487
Murray Darling,2009,7,0.6811867084506709
Murray Darling,2009,8,-1.7276417043382857
Murray Darling,2009,9,-6.2524344232376095
Murray Darling,2009,10,-7.55824080018926
Murray Darling,2009,11,-8.174158788832582
Murray Darling,2009,12,-7.218733735486005
Murray Darling,2010,1,1.6645224909319971
Murray Darling,2010,2,15.094027924786491
Murray Darling,2010,3,12.839310823767484
Murray Darling,2010,4,3.913612779318907
Murray Darling,2010,5,4.370214581742449
Murray Darling,2010,6,1.0175271364929657
Murray Darling,2010,7,3.441716682243392
Murray Darling,2010,8,5.464265398547269
Murray Darling,2010,9,15.633181999292098
Murray Darling,2010,10,15.477923215495245
Murray Darling,2010,11,26.54895788819054
Murray Darling,2010,12,25.316164968860356
Murray Darling,2011,1,23.219102699727006
Murray Darling,2011,2,18.081695716545585
Murray Darling,2011,3,16.201059181827965
Murray Darling,2011,4,4.670057613615274
Murray Darling,2011,5,3.6149883427983838
Murray Darling,2011,6,-0.06953513288326363
Murray Darling,2011,7,-1.2500678856505871
Murray Darling,2011,8,-0.08924007857574523
Murray Darling,2011,9,-2.876728552351107
Murray Darling,2011,10,0.6543042789854034
Murray Darling,2011,11,6.971391342039329
Murray Darling,2011,12,13.189694067637618
Murray Darling,2012,1,12.000015344965991
Murray Darling,2012,2,17.010077656775604
Murray Darling,2012,3,16.23828826732474
Murray Darling,2012,4,10.210554262503479
Murray Darling,2012,5,-4.737306131215952
Murray Darling,2012,6,1.1602924468817086
Murray Darling,2012,7,1.5395827701585247
Murray Darling,2012,8,-3.683016993977926
Murray Darling,2012,9,-4.2642272323883255
Murray Darling,2012,10,0.09211285832963867
Murray Darling,2012,11,-9.323237780408359
Murray Darling,2012,12,-5.060910745181513
Murray Darling,2013,1,-6.634028301057935
Murray Darling,2013,2,0.5520372034327998
Murray Darling,2013,3,1.8521287119398018
Murray Darling,2013,4,-4.103823061586393
Murray Darling,2013,5,-0.04050762231072014
Murray Darling,2013,6,1.5119377710121356
Murray Darling,2013,7,1.5388207521713326
Murray Darling,2013,8,0.6898696025398863
Murray Darling,2013,9,-1.9125473676379237
Murray Darling,2013,10,-7.4165857867979845
Murray Darling,2013,11,-5.727140782376953
Murray Darling,2013,12,-9.555357552686697
Murray Darling,2014,1,-11.483655664488868
Murray Darling,2014,2,-6.90411254954353
Murray Darling,2014,3,2.6927593924191235
Murray Darling,2014,4,4.826825901851876
Murray Darling,2014,5,5.869933999049692
Murray Darling,2014,6,0.7365798176644773
Murray Darling,2014,7,-1.23353737460004
Murray Darling,2014,8,0.4521429146648259
Murray Darling,2014,9,0.016668187209816665
Murray Darling,2014,10,-7.154547031011269
Murray Darling,2014,11,-9.64643484124398
Murray Darling,2014,12,-3.33002681733554
Murray Darling,2015,1,5.559418928299483
Murray Darling,2015,2,-2.197416142913646
Murray Darling,2015,3,-6.632257259681513
Murray Darling,2015,4,-1.419566339738683
Murray Darling,2015,5,3.68331811338588
Murray Darling,2015,6,1.48416311805531
Murray Darling,2015,7,1.975900731933546
Murray Darling,2015,8,4.694739086127193
Murray Darling,2015,9,4.700814127090013
Murray Darling,2015,10,-3.735295316717849
Murray Darling,2015,11,1.6200639703201176
Murray Darling,2015,12,-4.605849459693303
Murray Darling,2016,1,2.0717006014911696
Murray Darling,2016,2,-1.6917066037683455
